pressure	temperature	Kzz	H2Oaer	CO2aer	H2SO4aer	NH3aer	N2Oaer	C2H2aer	C2H4aer	C2H6aer	CH3CNaer	HCCCNaer	HCNaer	CH4aer	He	H	H2	H2O	OH	O	O2	CO	CO2	HCO	H2CO	C	CH	CH2	CH3	CH4	S	S2	H2S	HS	SO	SO2	CS	CS2	OCS	CN	HCN	N	N2	NH	NH2	NH3	C2	C2H	C2H2	C2H4	NO	HNO	HO2	HNCO	N2O	H2O2	O3	NO2	NO3	SO3	HNO2	HNO3	H2SO4	N2H4	C2H6	CH3OH	CH2CO	CH3CHO	C3H4	C3H6	C4H2	C4H4	HCS	C2H3	C2H5	NCO	1CH2	HCCO	NNH	HSO	CH3O	H2COH	H2CN	N2H2	C4H	HCNOH	C2H2OH	CH3CO	CH2CHO	C2H3OH	C2H4OH	CH3O2	HSO3	O1D	N2H3	NH2CO	HS4	C4H3	CH2N2	N2D	CH2CN	CH3CN	HCCCN	
1.000000e+08	2.645041e+03	6.000000e+08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.358163e-01	4.094707e-03	7.912224e-01	1.190471e-03	1.525101e-06	4.988314e-09	3.062791e-12	5.931508e-02	1.370954e-05	2.776055e-06	1.996285e-06	7.421717e-10	6.868466e-09	4.289023e-07	5.104395e-05	4.206774e-04	1.136835e-05	2.103536e-06	1.819051e-03	2.322206e-04	6.830714e-08	9.735167e-11	2.208152e-05	5.115843e-07	5.490593e-06	1.969631e-07	5.430632e-04	7.416925e-09	5.100061e-03	2.580942e-08	9.905805e-07	4.709411e-05	2.261987e-11	1.014558e-08	7.895133e-05	2.540230e-06	9.412265e-09	2.704127e-11	5.376889e-14	2.071711e-07	3.783567e-13	2.108157e-13	2.352887e-23	2.492844e-16	2.897626e-26	2.476251e-18	3.706108e-16	3.320775e-24	3.003724e-24	6.229837e-13	1.423914e-08	6.649418e-09	6.002617e-07	8.910811e-10	1.271370e-11	2.806047e-12	6.843543e-09	1.257524e-10	6.246895e-07	6.091336e-07	1.136099e-09	6.418951e-10	4.367469e-08	3.126182e-09	3.135783e-09	9.441410e-09	1.066082e-11	5.919112e-09	5.387974e-08	1.813660e-11	3.911395e-12	6.620461e-13	3.994678e-14	3.383200e-10	1.029564e-09	3.713479e-10	2.437219e-14	8.132366e-20	9.701355e-22	9.967486e-13	5.763852e-13	9.821157e-11	8.012732e-17	1.814614e-11	1.009315e-10	2.029056e-13	1.011681e-07	3.006969e-08	6.384140e-07	
9.509000e+07	2.615197e+03	6.000000e+08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.358413e-01	3.729642e-03	7.915534e-01	1.173651e-03	1.327334e-06	3.969944e-09	2.406749e-12	5.934370e-02	1.367202e-05	2.501738e-06	1.899397e-06	5.561223e-10	5.358925e-09	3.639361e-07	4.802070e-05	4.333524e-04	1.026499e-05	2.045700e-06	1.834114e-03	2.201349e-04	6.159126e-08	8.872268e-11	2.073773e-05	5.169669e-07	5.510522e-06	1.672582e-07	5.259385e-04	5.930104e-09	5.110239e-03	2.125071e-08	8.809321e-07	4.608497e-05	1.662498e-11	8.319030e-09	7.510855e-05	2.528533e-06	7.969697e-09	2.217306e-11	4.102916e-14	1.974499e-07	3.124783e-13	1.687464e-13	1.481315e-23	1.879346e-16	1.838738e-26	2.045177e-18	2.876308e-16	2.285861e-24	2.404122e-24	5.344906e-13	1.447619e-08	6.333455e-09	5.792547e-07	8.579863e-10	1.220509e-11	2.647715e-12	6.164515e-09	1.180511e-10	5.729067e-07	5.364402e-07	1.086547e-09	5.508362e-10	3.635074e-08	2.718549e-09	2.685949e-09	8.447868e-09	9.427671e-12	5.137286e-09	4.829663e-08	1.544036e-11	2.997472e-12	5.592970e-13	3.450586e-14	3.152396e-10	9.061263e-10	3.491767e-10	2.165102e-14	6.230111e-20	7.644359e-22	7.188512e-13	4.651086e-13	8.664315e-11	7.676087e-17	1.541561e-11	8.805310e-11	1.439555e-13	9.302630e-08	3.025426e-08	5.736236e-07	
9.035000e+07	2.585185e+03	6.000000e+08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.358650e-01	3.386911e-03	7.918630e-01	1.157777e-03	1.151392e-06	3.140048e-09	1.880911e-12	5.937075e-02	1.364887e-05	2.248423e-06	1.805834e-06	4.128119e-10	4.148257e-09	3.072097e-07	4.509263e-05	4.469233e-04	9.231671e-06	1.984925e-06	1.848932e-03	2.081938e-04	5.537037e-08	8.072938e-11	1.941067e-05	5.216009e-07	5.529138e-06	1.412582e-07	5.086775e-04	4.709215e-09	5.120413e-03	1.739841e-08	7.809942e-07	4.509861e-05	1.209257e-11	6.774776e-09	7.129877e-05	2.516428e-06	6.720572e-09	1.809583e-11	3.112079e-14	1.880497e-07	2.569271e-13	1.345461e-13	9.225834e-24	1.407828e-16	1.154975e-26	1.683565e-18	2.220838e-16	1.561782e-24	1.919827e-24	4.571929e-13	1.473394e-08	6.032346e-09	5.585923e-07	8.260767e-10	1.169736e-11	2.494943e-12	5.527831e-09	1.105237e-10	5.234731e-07	4.706534e-07	1.037792e-09	4.707796e-10	3.008136e-08	2.354376e-09	2.291000e-09	7.537050e-09	8.313417e-12	4.446524e-09	4.315163e-08	1.309393e-11	2.276017e-12	4.707000e-13	2.969071e-14	2.932391e-10	7.953556e-10	3.280868e-10	1.918840e-14	4.744998e-20	5.997721e-22	5.137797e-13	3.735175e-13	7.624252e-11	7.328662e-17	1.302279e-11	7.653903e-11	1.010904e-13	8.529577e-08	3.043304e-08	5.134143e-07	
8.581000e+07	2.555015e+03	6.000000e+08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.358877e-01	3.065567e-03	7.921516e-01	1.143221e-03	9.955132e-07	2.467790e-09	1.462121e-12	5.939589e-02	1.364502e-05	2.015507e-06	1.716196e-06	3.033752e-10	3.184622e-09	2.579534e-07	4.227243e-05	4.616690e-04	8.265114e-06	1.920749e-06	1.863515e-03	1.963944e-04	4.962340e-08	7.335751e-11	1.810011e-05	5.252774e-07	5.546454e-06	1.186115e-07	4.913328e-04	3.712867e-09	5.130555e-03	1.416158e-08	6.903177e-07	4.415169e-05	8.699603e-12	5.477868e-09	6.753861e-05	2.505132e-06	5.644107e-09	1.470181e-11	2.347125e-14	1.790332e-07	2.103582e-13	1.069177e-13	5.686002e-24	1.048211e-16	7.184947e-27	1.382059e-18	1.706826e-16	1.059974e-24	1.531595e-24	3.901705e-13	1.502708e-08	5.749876e-09	5.385135e-07	7.959689e-10	1.119759e-11	2.349902e-12	4.934854e-09	1.032504e-10	4.764194e-07	4.114673e-07	9.905529e-10	4.007551e-10	2.474733e-08	2.030861e-09	1.946056e-09	6.705492e-09	7.313539e-12	3.840074e-09	3.843522e-08	1.106399e-11	1.711895e-12	3.948169e-13	2.546149e-14	2.724698e-10	6.966510e-10	3.082912e-10	1.698187e-14	3.595485e-20	4.688954e-22	3.637984e-13	2.986607e-13	6.695307e-11	6.971539e-17	1.094242e-11	6.631059e-11	7.022957e-14	7.800046e-08	3.062022e-08	4.577643e-07	
8.146000e+07	2.524735e+03	6.000000e+08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.359091e-01	2.765820e-03	7.924189e-01	1.129994e-03	8.580514e-07	1.927509e-09	1.130818e-12	5.941911e-02	1.366112e-05	1.802054e-06	1.630293e-06	2.207482e-10	2.424795e-09	2.154423e-07	3.955806e-05	4.775884e-04	7.367221e-06	1.853670e-06	1.877795e-03	1.847933e-04	4.434084e-08	6.658052e-11	1.681378e-05	5.279235e-07	5.562320e-06	9.902145e-08	4.739101e-04	2.906750e-09	5.140664e-03	1.146096e-08	6.083529e-07	4.324024e-05	6.190172e-12	4.397296e-09	6.382914e-05	2.493952e-06	4.721464e-09	1.189219e-11	1.760587e-14	1.703814e-07	1.715256e-13	8.469392e-14	3.469230e-24	7.759160e-17	4.428332e-27	1.131711e-18	1.306001e-16	7.148443e-25	1.221005e-24	3.321873e-13	1.535217e-08	5.484183e-09	5.189293e-07	7.673866e-10	1.070266e-11	2.211348e-12	4.384247e-09	9.620048e-11	4.318589e-07	3.583873e-07	9.445328e-10	3.398024e-10	2.023938e-08	1.744692e-09	1.646292e-09	5.949475e-09	6.418356e-12	3.308924e-09	3.412522e-08	9.315190e-12	1.275127e-12	3.300589e-13	2.175789e-14	2.528416e-10	6.088332e-10	2.896505e-10	1.500443e-14	2.710723e-20	3.653595e-22	2.552747e-13	2.377767e-13	5.867315e-11	6.607260e-17	9.141804e-12	5.725317e-11	4.827774e-14	7.112555e-08	3.080671e-08	4.064832e-07	
7.730000e+07	2.494340e+03	6.000000e+08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.359296e-01	2.486916e-03	7.926655e-01	1.118280e-03	7.372246e-07	1.495860e-09	8.700965e-13	5.944028e-02	1.370006e-05	1.606943e-06	1.548160e-06	1.589421e-10	1.830260e-09	1.789309e-07	3.695039e-05	4.948511e-04	6.535914e-06	1.783697e-06	1.891759e-03	1.734061e-04	3.949838e-08	6.036505e-11	1.555426e-05	5.293874e-07	5.576579e-06	8.216037e-08	4.564162e-04	2.258797e-09	5.150739e-03	9.219832e-09	5.344847e-07	4.236900e-05	4.353354e-12	3.502803e-09	6.017406e-05	2.483035e-06	3.933756e-09	9.576894e-12	1.313418e-14	1.620977e-07	1.392813e-13	6.688531e-14	2.095128e-24	5.709841e-17	2.703876e-27	9.245593e-19	9.949734e-17	4.790923e-25	9.732126e-25	2.821883e-13	1.571508e-08	5.235550e-09	4.998662e-07	7.404081e-10	1.021332e-11	2.079334e-12	3.882621e-09	8.938171e-11	3.897882e-07	3.109407e-07	8.998242e-10	2.869452e-10	1.645028e-08	1.492503e-09	1.386822e-09	5.264120e-09	5.619436e-12	2.845080e-09	3.019828e-08	7.814240e-12	9.418621e-13	2.750007e-13	1.852693e-14	2.343379e-10	5.309153e-10	2.721510e-10	1.323778e-14	2.033517e-20	2.837959e-22	1.774384e-13	1.884835e-13	5.131359e-11	6.237143e-17	7.591150e-12	4.926015e-11	3.282098e-14	6.466196e-08	3.099376e-08	3.600876e-07	
7.330000e+07	2.463772e+03	6.000000e+08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.359490e-01	2.227949e-03	7.928922e-01	1.107945e-03	6.311319e-07	1.152683e-09	6.655928e-13	5.945954e-02	1.376209e-05	1.428516e-06	1.469150e-06	1.131268e-10	1.368214e-09	1.476640e-07	3.443485e-05	5.134322e-04	5.769837e-06	1.711414e-06	1.905378e-03	1.622572e-04	3.506870e-08	5.466206e-11	1.432630e-05	5.296773e-07	5.589326e-06	6.770881e-08	4.387860e-04	1.741044e-09	5.160821e-03	7.367390e-09	4.679099e-07	4.152505e-05	3.022240e-12	2.766286e-09	5.655983e-05	2.471107e-06	3.262633e-09	7.672775e-12	9.736216e-15	1.541194e-07	1.125554e-13	5.261829e-14	1.250566e-24	4.173342e-17	1.633106e-27	7.531915e-19	7.540630e-17	3.186810e-25	7.749628e-25	2.389680e-13	1.610823e-08	5.000162e-09	4.811073e-07	7.144912e-10	9.723175e-12	1.951682e-12	3.410399e-09	8.273083e-11	3.501673e-07	2.685033e-07	8.557873e-10	2.411773e-10	1.327693e-08	1.270447e-09	1.162580e-09	4.643307e-09	4.904809e-12	2.439186e-09	2.661792e-08	6.526494e-12	6.861560e-13	2.281719e-13	1.570487e-14	2.167735e-10	4.615709e-10	2.555420e-10	1.165013e-14	1.516073e-20	2.195865e-22	1.220531e-13	1.486156e-13	4.475640e-11	5.863667e-17	6.257480e-12	4.220138e-11	2.204165e-14	5.856910e-08	3.116624e-08	3.167078e-07	
6.947000e+07	2.433026e+03	6.000000e+08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.359676e-01	1.988078e-03	7.930995e-01	1.099300e-03	5.383392e-07	8.816724e-10	5.061754e-13	5.947664e-02	1.385200e-05	1.265917e-06	1.393494e-06	7.952767e-11	1.012359e-09	1.210482e-07	3.201651e-05	5.335977e-04	5.066043e-06	1.636702e-06	1.918649e-03	1.513549e-04	3.102831e-08	4.944604e-11	1.313152e-05	5.285975e-07	5.600427e-06	5.539494e-08	4.210434e-04	1.330390e-09	5.170899e-03	5.845880e-09	4.081443e-07	4.071814e-05	2.069276e-12	2.164598e-09	5.299570e-05	2.458670e-06	2.693491e-09	6.115619e-12	7.172068e-15	1.464701e-07	9.052068e-14	4.124721e-14	7.377029e-25	3.029742e-17	9.757754e-28	6.120693e-19	5.686305e-17	2.104627e-25	6.170795e-25	2.018025e-13	1.654223e-08	4.779645e-09	4.627526e-07	6.899142e-10	9.235256e-12	1.829211e-12	2.976043e-09	7.628285e-11	3.129851e-07	2.307335e-07	8.127368e-10	2.017358e-10	1.063690e-08	1.075909e-09	9.697464e-10	4.082944e-09	4.268727e-12	2.085615e-09	2.336746e-08	5.427252e-12	4.936167e-13	1.885542e-13	1.325424e-14	2.001897e-10	4.001491e-10	2.398926e-10	1.023203e-14	1.123632e-20	1.693172e-22	8.304076e-14	1.165695e-13	3.894035e-11	5.488149e-17	5.118862e-12	3.599918e-11	1.461194e-14	5.284952e-08	3.132941e-08	2.770302e-07	
6.580000e+07	2.402161e+03	6.000000e+08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.359853e-01	1.767265e-03	7.932873e-01	1.092358e-03	4.576062e-07	6.696101e-10	3.828279e-13	5.949155e-02	1.397100e-05	1.118330e-06	1.320999e-06	5.522977e-11	7.414685e-10	9.856521e-08	2.969458e-05	5.553247e-04	4.424797e-06	1.560274e-06	1.931504e-03	1.407576e-04	2.736417e-08	4.469134e-11	1.197800e-05	5.261083e-07	5.609752e-06	4.499334e-08	4.032091e-04	1.008049e-09	5.180966e-03	4.606734e-09	3.547335e-07	3.994303e-05	1.397362e-12	1.678089e-09	4.948764e-05	2.444764e-06	2.213824e-09	4.850296e-12	5.251814e-15	1.391300e-07	7.246305e-14	3.222599e-14	4.303101e-25	2.185430e-17	5.770516e-28	4.963308e-19	4.267713e-17	1.380539e-25	4.915004e-25	1.699247e-13	1.701099e-08	4.572136e-09	4.447090e-07	6.663802e-10	8.747110e-12	1.710897e-12	2.578730e-09	7.002379e-11	2.783221e-07	1.972696e-07	7.704017e-10	1.679442e-10	8.458995e-09	9.064174e-10	8.049183e-10	3.579554e-09	3.704081e-12	1.778471e-09	2.042875e-08	4.493596e-12	3.505510e-13	1.551817e-13	1.113442e-14	1.845135e-10	3.458542e-10	2.250804e-10	8.965125e-15	8.279090e-21	1.301474e-22	5.590426e-14	9.095873e-14	3.379382e-11	5.113797e-17	4.153485e-12	3.057221e-11	9.564838e-15	4.749435e-08	3.146962e-08	2.409169e-07	
6.229000e+07	2.371197e+03	6.000000e+08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.360022e-01	1.564804e-03	7.934561e-01	1.087303e-03	3.876606e-07	5.049272e-10	2.879896e-13	5.950415e-02	1.412280e-05	9.848443e-07	1.251667e-06	3.787461e-11	5.373817e-10	7.970258e-08	2.747048e-05	5.787538e-04	3.843736e-06	1.482454e-06	1.943916e-03	1.304918e-04	2.405461e-08	4.037036e-11	1.086983e-05	5.221100e-07	5.617243e-06	3.627089e-08	3.853080e-04	7.572244e-10	5.191012e-03	3.604797e-09	3.071935e-07	3.920205e-05	9.301737e-13	1.288349e-09	4.604396e-05	2.429174e-06	1.811614e-09	3.827924e-12	3.823480e-15	1.321000e-07	5.774365e-14	2.510045e-14	2.482495e-25	1.566558e-17	3.378450e-28	4.017726e-19	3.188643e-17	8.997789e-26	3.918553e-25	1.426843e-13	1.751727e-08	4.377574e-09	4.269861e-07	6.438971e-10	8.259517e-12	1.596734e-12	2.217652e-09	6.396929e-11	2.461748e-07	1.677658e-07	7.288274e-10	1.391418e-10	6.675821e-09	7.595352e-10	6.647775e-10	3.129103e-09	3.204707e-12	1.512584e-09	1.778309e-08	3.704422e-12	2.456014e-13	1.272013e-13	9.309815e-15	1.697297e-10	2.980228e-10	2.110842e-10	7.836830e-15	6.065453e-21	9.976571e-23	3.723512e-14	7.060859e-14	2.925486e-11	4.742994e-17	3.341337e-12	2.584567e-11	6.180474e-15	4.249889e-08	3.158278e-08	2.082201e-07	
6.026631e+07	2.352694e+03	6.000000e+08	5.360540e-61	5.360540e-61	5.360540e-61	5.360540e-61	5.360540e-61	5.360540e-61	5.360540e-61	5.360540e-61	5.360540e-61	5.360540e-61	5.360540e-61	5.360540e-61	1.360108e-01	1.468502e-03	7.935347e-01	1.085720e-03	3.558630e-07	4.361845e-10	2.487147e-13	5.950953e-02	1.426856e-05	9.220180e-07	1.217637e-06	3.109448e-11	4.541704e-10	7.132518e-08	2.637273e-05	5.913337e-04	3.569800e-06	1.442178e-06	1.949942e-03	1.253895e-04	2.250055e-08	3.833862e-11	1.032161e-05	5.193101e-07	5.620071e-06	3.239920e-08	3.761235e-04	6.523360e-10	5.196095e-03	3.172852e-09	2.850946e-07	3.884044e-05	7.515309e-13	1.121437e-09	4.430599e-05	2.419968e-06	1.633324e-09	3.387565e-12	3.247003e-15	1.286460e-07	5.136029e-14	2.208649e-14	1.869238e-25	1.319643e-17	2.564119e-28	3.607560e-19	2.745374e-17	7.222901e-26	3.496299e-25	1.304180e-13	1.778733e-08	4.283891e-09	4.180517e-07	6.328337e-10	8.008748e-12	1.539722e-12	2.046261e-09	6.093877e-11	2.307127e-07	1.541250e-07	7.077856e-10	1.261989e-10	5.899005e-09	6.925980e-10	6.019224e-10	2.919103e-09	2.973663e-12	1.391682e-09	1.654049e-08	3.352086e-12	2.036884e-13	1.147867e-13	8.482417e-15	1.625205e-10	2.759463e-10	2.042568e-10	7.311219e-15	5.166904e-21	8.709977e-23	3.015421e-14	6.195188e-14	2.716034e-11	4.554979e-17	2.979153e-12	2.368301e-11	4.923096e-15	4.008128e-08	3.161962e-08	1.927640e-07	
5.650707e+07	2.316705e+03	6.000000e+08	5.636789e-61	5.636789e-61	5.636789e-61	5.636789e-61	5.636789e-61	5.636789e-61	5.636789e-61	5.636789e-61	5.636789e-61	5.636789e-61	5.636789e-61	5.636789e-61	1.360317e-01	1.249456e-03	7.937054e-01	1.086887e-03	2.878419e-07	3.022728e-10	1.730634e-13	5.951746e-02	1.452466e-05	7.833410e-07	1.141610e-06	1.887326e-11	2.971567e-10	5.398308e-08	2.386133e-05	6.269232e-04	2.951105e-06	1.338792e-06	1.964419e-03	1.131526e-04	1.902764e-08	3.383735e-11	9.018710e-06	5.095644e-07	5.625209e-06	2.435248e-08	3.539892e-04	4.478473e-10	5.208383e-03	2.303946e-09	2.369727e-07	3.812501e-05	4.381286e-13	7.899069e-10	4.022252e-05	2.407699e-06	1.262767e-09	2.505470e-12	2.171179e-15	1.209346e-07	3.847307e-14	1.618391e-14	9.269683e-26	8.646597e-18	1.299893e-28	2.780071e-19	1.904600e-17	4.224391e-26	2.677526e-25	1.050884e-13	1.865264e-08	4.095824e-09	3.982609e-07	6.115493e-10	7.444789e-12	1.418373e-12	1.671723e-09	5.418143e-11	1.955235e-07	1.249034e-07	6.619627e-10	9.902763e-11	4.325292e-09	5.507623e-10	4.703119e-10	2.457682e-09	2.481634e-12	1.137628e-09	1.382361e-08	2.621541e-12	1.270942e-13	8.935622e-14	6.761619e-15	1.467286e-10	2.291639e-10	1.898418e-10	6.213236e-15	3.496926e-21	6.270668e-23	1.777342e-14	4.496149e-14	2.270363e-11	4.555677e-17	2.239139e-12	1.911008e-11	2.777094e-15	3.467877e-08	3.184274e-08	1.588569e-07	
5.294238e+07	2.280529e+03	6.000000e+08	5.926854e-61	5.926854e-61	5.926854e-61	5.926854e-61	5.926854e-61	5.926854e-61	5.926854e-61	5.926854e-61	5.926854e-61	5.926854e-61	5.926854e-61	5.926854e-61	1.360493e-01	1.070440e-03	7.938421e-01	1.087899e-03	2.348017e-07	2.126716e-10	1.222364e-13	5.952395e-02	1.483013e-05	6.684291e-07	1.070145e-06	1.165519e-11	1.970634e-10	4.114957e-08	2.158448e-05	6.601521e-04	2.460171e-06	1.247352e-06	1.977038e-03	1.025207e-04	1.621256e-08	3.004583e-11	7.911198e-06	4.996989e-07	5.627075e-06	1.846316e-08	3.330661e-04	3.118680e-10	5.219956e-03	1.691436e-09	1.979726e-07	3.735468e-05	2.595906e-13	5.611601e-10	3.646851e-05	2.379017e-06	9.861237e-10	1.872262e-12	1.473832e-15	1.136554e-07	2.910938e-14	1.199042e-14	4.718183e-26	5.755225e-18	6.754748e-29	2.165686e-19	1.338113e-17	2.517174e-26	2.068886e-25	8.491028e-14	1.934443e-08	3.903399e-09	3.782590e-07	5.875182e-10	6.872214e-12	1.295003e-12	1.362440e-09	4.779761e-11	1.663180e-07	1.014263e-07	6.150090e-10	7.827059e-11	3.197558e-09	4.398566e-10	3.701332e-10	2.082498e-09	2.075087e-12	9.337023e-10	1.158240e-08	2.063033e-12	7.999598e-14	6.991595e-14	5.396554e-15	1.320680e-10	1.905410e-10	1.756455e-10	5.262631e-15	2.388785e-21	4.569035e-23	1.069528e-14	3.289934e-14	1.902876e-11	4.556265e-17	1.682622e-12	1.546090e-11	1.599769e-15	2.997576e-08	3.181060e-08	1.309591e-07	
4.956369e+07	2.244233e+03	6.000000e+08	6.232705e-61	6.232705e-61	6.232705e-61	6.232705e-61	6.232705e-61	6.232705e-61	6.232705e-61	6.232705e-61	6.232705e-61	6.232705e-61	6.232705e-61	6.232705e-61	1.360664e-01	9.112205e-04	7.939559e-01	1.092708e-03	1.906242e-07	1.480086e-10	8.571104e-14	5.952627e-02	1.520823e-05	5.676665e-07	1.002813e-06	7.050106e-12	1.284583e-10	3.101327e-08	1.944278e-05	6.967314e-04	2.032717e-06	1.155783e-06	1.989089e-03	9.241846e-05	1.375005e-08	2.668899e-11	6.878734e-06	4.874825e-07	5.626569e-06	1.382440e-08	3.122079e-04	2.141861e-10	5.231445e-03	1.228055e-09	1.644789e-07	3.664417e-05	1.501812e-13	3.922034e-10	3.285060e-05	2.347216e-06	7.652290e-10	1.389407e-12	9.927470e-16	1.067858e-07	2.188440e-14	8.853888e-15	2.366407e-26	3.798333e-18	3.462512e-29	1.685956e-19	9.349800e-18	1.488412e-26	1.606423e-25	6.836523e-14	2.010804e-08	3.728524e-09	3.587687e-07	5.650510e-10	6.308741e-12	1.177962e-12	1.095554e-09	4.180147e-11	1.402125e-07	8.163389e-08	5.695149e-10	6.140945e-11	2.334644e-09	3.482560e-10	2.890667e-10	1.757706e-09	1.728164e-12	7.636921e-10	9.637407e-09	1.613123e-12	4.920308e-14	5.439264e-14	4.276189e-15	1.185280e-10	1.577223e-10	1.624705e-10	4.444067e-15	1.619458e-21	3.322512e-23	6.330732e-15	2.389420e-14	1.589665e-11	4.556839e-17	1.245837e-12	1.241972e-11	9.027340e-16	2.572127e-08	3.172244e-08	1.067953e-07	
4.636287e+07	2.207881e+03	6.000000e+08	6.556958e-61	6.556958e-61	6.556958e-61	6.556958e-61	6.556958e-61	6.556958e-61	6.556958e-61	6.556958e-61	6.556958e-61	6.556958e-61	6.556958e-61	6.556958e-61	1.360832e-01	7.708369e-04	7.940477e-01	1.101405e-03	1.540479e-07	1.019201e-10	5.968394e-14	5.952438e-02	1.566493e-05	4.797491e-07	9.391799e-07	4.177011e-12	8.229831e-11	2.310394e-08	1.743307e-05	7.366429e-04	1.664998e-06	1.065253e-06	2.000499e-03	8.289809e-05	1.161055e-08	2.372296e-11	5.928050e-06	4.730524e-07	5.623569e-06	1.022106e-08	2.914818e-04	1.450939e-10	5.242827e-03	8.817812e-10	1.358816e-07	3.598210e-05	8.480992e-14	2.695651e-10	2.938395e-05	2.310629e-06	5.901666e-10	1.023994e-12	6.636804e-16	1.002814e-07	1.634876e-14	6.516523e-15	1.168111e-26	2.486158e-18	1.751342e-29	1.312077e-19	6.497916e-18	8.734946e-27	1.253662e-25	5.482536e-14	2.092876e-08	3.567977e-09	3.396442e-07	5.436413e-10	5.753507e-12	1.066145e-12	8.682423e-10	3.619363e-11	1.171272e-07	6.508266e-08	5.251670e-10	4.782109e-11	1.683076e-09	2.732482e-10	2.240039e-10	1.477975e-09	1.432898e-12	6.222985e-10	7.960415e-09	1.252985e-12	2.954583e-14	4.205990e-14	3.361903e-15	1.059980e-10	1.299010e-10	1.501366e-10	3.738222e-15	1.089230e-21	2.411805e-23	3.687110e-15	1.721979e-14	1.323218e-11	4.557401e-17	9.078212e-13	9.900897e-12	4.990649e-16	2.189479e-08	3.155262e-08	8.608368e-08	
4.333218e+07	2.171472e+03	6.000000e+08	6.901604e-61	6.901604e-61	6.901604e-61	6.901604e-61	6.901604e-61	6.901604e-61	6.901604e-61	6.901604e-61	6.901604e-61	6.901604e-61	6.901604e-61	6.901604e-61	1.360999e-01	6.478207e-04	7.941184e-01	1.114327e-03	1.238969e-07	6.941193e-11	4.126358e-14	5.951798e-02	1.621109e-05	4.033547e-07	8.789846e-07	2.421220e-12	5.176765e-11	1.700050e-08	1.555299e-05	7.801445e-04	1.351482e-06	9.764045e-07	2.011220e-03	7.397279e-05	9.759912e-09	2.110448e-11	5.060935e-06	4.564799e-07	5.617949e-06	7.456371e-09	2.709503e-04	9.688243e-11	5.254079e-03	6.257880e-10	1.115853e-07	3.536524e-05	4.668272e-14	1.820001e-10	2.608286e-05	2.268516e-06	4.522418e-10	7.492477e-13	4.402318e-16	9.411579e-08	1.213254e-14	4.779928e-15	5.681638e-27	1.613335e-18	8.735779e-30	1.020958e-19	4.490698e-18	5.086219e-27	9.837350e-26	4.377611e-14	2.180410e-08	3.420351e-09	3.208405e-07	5.231009e-10	5.208708e-12	9.593764e-13	6.773342e-10	3.099306e-11	9.689617e-08	5.135720e-08	4.819523e-10	3.694537e-11	1.197080e-09	2.123289e-10	1.721596e-10	1.237916e-09	1.182410e-12	5.050267e-10	6.523596e-09	9.663908e-13	1.729204e-14	3.231223e-14	2.620668e-15	9.441434e-11	1.063978e-10	1.385581e-10	3.130586e-15	7.264418e-22	1.747727e-23	2.111374e-15	1.230737e-14	1.097115e-11	4.557959e-17	6.501656e-13	7.828164e-12	2.700179e-16	1.847616e-08	3.128803e-08	6.852172e-08	
